order_number,producto_id,cliente_id,fecha_id,geografia_id,quantity_ordered,price_each,sales,status
10258,2,64,20040615,22,32,100.0,7680.64,Shipped
10270,2,17,20040719,82,21,100.0,4905.39,Shipped
10280,2,76,20040817,2,34,100.0,8014.82,Shipped
10291,2,71,20040908,184,37,100.0,7136.19,Shipped
10304,2,36,20041011,27,47,100.0,10172.7,Shipped
10312,2,7,20041021,149,48,100.0,11623.7,Shipped
10322,2,98,20041104,149,40,100.0,6000.4,Shipped
10333,2,45,20041118,149,26,100.0,3003.0,Shipped
10347,2,90,20041129,82,30,100.0,3944.7,Shipped
10357,2,68,20041210,149,32,100.0,5691.84,Shipped
10369,2,78,20050120,149,41,100.0,4514.92,Shipped
10381,2,76,20050217,149,36,100.0,8254.8,Shipped
10391,2,20,20050309,82,24,100.0,2416.56,Shipped
10411,2,37,20050501,244,23,100.0,4140.23,Shipped
10424,2,47,20050531,75,50,100.0,12001.0,In Process
10107,3,9,20030224,149,39,99.91,3896.49,Shipped
10120,3,50,20030429,82,29,96.34,2793.86,Shipped
10134,3,66,20030701,27,27,100.0,3307.77,Shipped
10145,3,44,20030825,149,37,100.0,5192.95,Shipped
10159,3,44,20031010,149,37,100.0,5016.83,Shipped
10168,3,86,20031028,149,27,100.0,3660.93,Shipped
10180,3,9,20031111,27,42,100.0,4695.6,Shipped
10188,3,70,20031118,70,38,96.34,3660.92,Shipped
10201,3,21,20031201,149,24,100.0,3025.92,Shipped
10210,3,5,20040112,22,23,100.0,3009.09,Shipped
10223,3,53,20040220,82,47,100.0,5422.39,Shipped
10236,3,55,20040403,149,22,100.0,2852.08,Shipped
10251,3,74,20040518,149,44,100.0,5756.52,Shipped
10263,3,77,20040628,149,40,100.0,4472.0,Shipped
10275,3,72,20040723,27,22,100.0,2904.44,Shipped
10285,3,79,20040827,149,47,100.0,6484.59,Shipped
10298,3,16,20040927,27,39,96.34,3757.26,Shipped
10308,3,75,20041015,149,34,100.0,4043.96,Shipped
10318,3,84,20041102,149,45,100.0,5566.5,Shipped
10329,3,46,20041115,149,20,100.0,3176.0,Shipped
10339,3,69,20041123,22,40,68.92,2756.8,Shipped
10361,3,38,20041217,82,26,51.15,1329.9,Shipped
10374,3,93,20050202,82,39,100.0,5288.01,Shipped
10388,3,93,20050303,149,50,44.51,2225.5,Shipped
10402,3,75,20050407,27,45,100.0,5833.8,Shipped
10417,3,65,20050513,75,45,100.0,5887.35,Disputed
10107,4,9,20030224,149,27,100.0,6065.55,Shipped
10120,4,50,20030429,82,46,100.0,9264.86,Shipped
10134,4,66,20030701,27,31,100.0,7023.98,Shipped
10145,4,44,20030825,149,33,100.0,5176.38,Shipped
10159,4,44,20031010,149,22,100.0,4132.7,Shipped
10168,4,86,20031028,149,20,100.0,4183.0,Shipped
10180,4,9,20031111,27,41,100.0,8892.9,Shipped
10188,4,70,20031118,70,45,100.0,8714.7,Shipped
10201,4,21,20031201,149,49,100.0,8065.89,Shipped
10210,4,5,20040112,22,34,100.0,6123.4,Shipped
10223,4,53,20040220,82,49,100.0,9774.03,Shipped
10237,4,98,20040405,149,39,100.0,7023.9,Shipped
10251,4,74,20040518,149,43,100.0,7078.23,Shipped
10263,4,77,20040628,149,41,100.0,8336.94,Shipped
10275,4,72,20040723,27,36,100.0,6901.92,Shipped
10285,4,79,20040827,149,27,100.0,5438.07,Shipped
10299,4,52,20040930,12,29,100.0,6683.34,Shipped
10308,4,75,20041015,149,20,100.0,4570.4,Shipped
10318,4,84,20041102,149,37,100.0,7667.14,Shipped
10329,4,46,20041115,149,26,100.0,5868.2,Shipped
10339,4,69,20041123,22,39,76.67,2990.13,Shipped
10362,4,37,20050105,149,22,100.0,3664.1,Shipped
10374,4,93,20050202,82,22,100.0,3834.38,Shipped
10388,4,93,20050303,149,21,86.77,1822.17,Shipped
10403,4,79,20050408,87,66,100.0,11886.6,Shipped
10417,4,65,20050513,75,56,100.0,9218.16,Disputed
10105,5,97,20030211,224,50,100.0,7208.0,Shipped
10119,5,42,20030428,226,46,100.0,5004.8,Shipped
10129,5,33,20030612,87,33,100.0,4398.24,Shipped
10143,5,91,20030810,149,49,100.0,5597.76,Shipped
10155,5,38,20031006,12,32,100.0,4526.08,Shipped
10167,5,8,20031023,184,44,100.0,5924.16,Cancelled
10178,5,47,20031108,27,24,100.0,3492.48,Shipped
10186,5,80,20031114,87,26,100.0,3854.24,Shipped
10197,5,19,20031126,75,45,100.0,5324.4,Shipped
10209,5,47,20040109,149,39,100.0,5197.92,Shipped
10222,5,13,20040219,149,49,100.0,5997.6,Shipped
10248,5,69,20040507,149,20,100.0,2910.4,Cancelled
10261,5,48,20040617,244,27,100.0,3378.24,Shipped
10273,5,34,20040721,24,30,100.0,3508.8,Shipped
10283,5,23,20040820,244,25,100.0,2992.0,Shipped
10295,5,57,20040910,149,24,100.0,3427.2,Shipped
10307,5,67,20041014,149,22,100.0,2692.8,Shipped
10316,5,95,20041101,87,33,100.0,4128.96,Shipped
10325,5,44,20041105,70,47,64.93,3051.71,Shipped
10337,5,17,20041121,149,25,48.05,1201.25,Shipped
10350,5,84,20041202,75,26,75.47,1962.22,Shipped
10359,5,63,20041215,27,48,54.68,2624.64,Shipped
10373,5,71,20050131,12,39,100.0,4046.25,Shipped
10384,5,10,20050223,149,34,100.0,4846.7,Shipped
10395,5,32,20050317,27,32,100.0,3370.56,Shipped
10400,5,77,20050401,149,64,100.0,9661.44,Shipped
10414,5,84,20050506,149,19,100.0,2764.88,On Hold
10103,6,41,20030129,70,42,100.0,5398.26,Shipped
10114,6,44,20030401,27,31,100.0,4305.28,Shipped
10126,6,55,20030528,75,22,100.0,3347.74,Shipped
10140,6,45,20030724,149,26,100.0,3188.12,Shipped
10150,6,46,20030919,246,20,100.0,3191.2,Shipped
10164,6,81,20031021,226,21,100.0,3536.82,Resolved
10175,6,85,20031106,87,33,100.0,5362.83,Shipped
10183,6,56,20031113,149,28,100.0,3433.36,Shipped
10194,6,89,20031125,27,26,100.0,4263.74,Shipped
10207,6,39,20031209,149,31,100.0,4076.19,Shipped
10217,6,90,20040204,246,48,100.0,7020.48,Shipped
10229,6,29,20040311,149,50,100.0,6426.5,Shipped
10245,6,28,20040504,149,28,100.0,4591.72,Shipped
10259,6,24,20040615,246,26,100.0,4033.38,Shipped
10270,6,17,20040719,82,32,100.0,4302.08,Shipped
10281,6,69,20040819,149,44,100.0,7020.64,Shipped
10291,6,71,20040908,184,30,100.0,3855.9,Shipped
10305,6,64,20041013,149,38,100.0,6680.78,Shipped
10313,6,14,20041022,244,40,100.0,6678.0,Shipped
10322,6,98,20041104,149,46,61.99,2851.54,Shipped
10334,6,84,20041119,184,26,100.0,3188.12,On Hold
10347,6,90,20041129,82,27,100.0,4428.0,Shipped
10357,6,68,20041210,149,43,100.0,5780.92,Shipped
10370,6,20,20050120,82,35,65.63,2297.05,Shipped
10381,6,76,20050217,149,37,100.0,6231.54,Shipped
10391,6,20,20050309,82,37,46.9,1735.3,Shipped
10411,6,37,20050501,244,27,100.0,4427.73,Shipped
10425,6,81,20050531,27,38,100.0,5894.94,In Process
10108,7,1,20030303,166,33,100.0,5265.15,Shipped
10122,7,80,20030508,27,42,100.0,7599.9,Shipped
10135,7,79,20030702,149,42,100.0,8008.56,Shipped
10147,7,79,20030905,149,48,100.0,9245.76,Shipped
10159,7,44,20031010,149,41,100.0,8296.35,Shipped
10169,7,67,20031104,82,30,100.0,5019.9,Shipped
10181,7,48,20031112,70,27,100.0,5411.07,Shipped
10191,7,71,20031120,202,21,100.0,3840.9,Shipped
10203,7,28,20031202,75,20,100.0,3930.4,Shipped
10211,7,10,20040115,27,41,100.0,7498.9,Shipped
10225,7,79,20040222,133,27,100.0,4517.91,Shipped
10238,7,56,20040409,224,28,100.0,5774.72,Shipped
10253,7,46,20040601,87,24,100.0,3922.56,Cancelled
10266,7,51,20040706,2,44,100.0,9160.36,Shipped
10276,7,57,20040802,149,50,100.0,9631.0,Shipped
10287,7,4,20040830,133,21,100.0,3432.24,Shipped
10300,7,14,20031004,202,33,100.0,5521.89,Shipped
10310,7,25,20041016,202,33,100.0,6934.62,Shipped
10320,7,12,20041103,184,31,100.0,6876.11,Shipped
10329,7,46,20041115,149,41,71.47,2930.27,Shipped
10341,7,51,20041124,226,45,79.65,3584.25,Shipped
10363,7,44,20050106,12,33,85.39,2817.87,Shipped
10375,7,19,20050203,27,45,76.0,3420.0,Shipped
10389,7,67,20050303,184,26,99.04,2575.04,Shipped
10419,7,66,20050517,226,12,100.0,1961.28,Shipped
10105,8,97,20030211,224,41,100.0,8690.36,Shipped
10117,8,48,20030416,246,33,100.0,6034.38,Shipped
10127,8,86,20030603,149,46,100.0,11279.2,Shipped
10142,8,57,20030808,149,33,100.0,8023.29,Shipped
10153,8,8,20030928,75,20,100.0,4904.0,Shipped
10165,8,77,20031022,246,44,100.0,8594.52,Shipped
10176,8,58,20031106,2,33,100.0,7474.5,Shipped
10185,8,64,20031114,149,21,100.0,3883.74,Shipped
10196,8,57,20031126,149,47,100.0,8887.7,Shipped
10208,8,56,20040102,27,46,100.0,8602.92,Shipped
10220,8,10,20040212,69,32,100.0,7181.44,Shipped
10231,8,56,20040319,75,42,100.0,8378.58,Shipped
10247,8,80,20040505,12,44,100.0,10606.2,Shipped
10272,8,31,20040720,149,35,100.0,5818.4,Shipped
10282,8,61,20040820,149,41,100.0,7071.27,Shipped
10293,8,4,20040909,2,46,100.0,8411.56,Shipped
10306,8,35,20041014,87,31,100.0,6570.76,Shipped
10314,8,44,20041022,224,38,100.0,7975.44,Shipped
10325,8,44,20041105,70,42,64.0,2688.0,Shipped
10336,8,99,20041120,27,33,57.22,1888.26,Shipped
10348,8,22,20041101,75,48,52.36,2513.28,Shipped
10359,8,63,20041215,27,42,100.0,4764.48,Shipped
10371,8,28,20050123,149,32,100.0,3560.64,Shipped
10382,8,41,20050217,149,34,100.0,3823.64,Shipped
10395,8,32,20050317,27,33,69.12,2280.96,Shipped
10413,8,100,20050505,149,36,100.0,8677.8,Shipped
10103,9,41,20030129,70,27,100.0,3394.98,Shipped
10113,9,86,20030326,149,21,100.0,3415.44,Shipped
10126,9,55,20030528,75,21,100.0,2439.57,Shipped
10140,9,45,20030724,149,38,100.0,4829.8,Shipped
10150,9,46,20030919,246,30,100.0,4100.1,Shipped
10164,9,81,20031021,226,49,100.0,6563.06,Resolved
10174,9,10,20031106,82,43,100.0,6817.22,Shipped
10183,9,56,20031113,149,41,100.0,6163.94,Shipped
10194,9,89,20031125,27,38,100.0,4933.92,Shipped
10206,9,7,20031205,244,28,100.0,4056.36,Shipped
10216,9,4,20040202,27,43,100.0,5759.42,Shipped
10229,9,29,20040311,149,25,100.0,3451.0,Shipped
10245,9,28,20040504,149,38,100.0,5920.4,Shipped
10258,9,64,20040615,22,41,100.0,6668.24,Shipped
10270,9,17,20040719,82,28,100.0,4094.72,Shipped
10281,9,69,20040819,149,25,100.0,2938.5,Shipped
10291,9,71,20040908,184,41,100.0,6387.8,Shipped
10304,9,36,20041011,27,39,100.0,6396.0,Shipped
10313,9,14,20041022,244,21,100.0,2669.1,Shipped
10322,9,98,20041104,149,27,100.0,4784.13,Shipped
10333,9,45,20041118,149,33,99.21,3273.93,Shipped
10347,9,90,20041129,82,29,100.0,3586.43,Shipped
10357,9,68,20041210,149,49,100.0,5960.36,Shipped
10370,9,20,20050120,82,49,100.0,8470.14,Shipped
10381,9,76,20050217,149,20,100.0,2952.0,Shipped
10391,9,20,20050309,82,39,63.2,2464.8,Shipped
10411,9,37,20050501,244,40,100.0,6232.0,Shipped
10424,9,47,20050531,75,49,100.0,7969.36,In Process
10107,10,9,20030224,149,21,100.0,3036.6,Shipped
10121,10,78,20030507,27,50,100.0,8284.0,Shipped
10134,10,66,20030701,27,20,100.0,2711.2,Shipped
10145,10,44,20030825,149,49,100.0,8339.8,Shipped
10159,10,44,20031010,149,38,100.0,6238.84,Shipped
10169,10,67,20031104,82,35,100.0,4639.25,Shipped
10180,10,9,20031111,27,40,100.0,6747.6,Shipped
10189,10,24,20031118,149,28,100.0,4512.48,Shipped
10201,10,21,20031201,149,25,100.0,4029.0,Shipped
10211,10,10,20040115,27,36,100.0,4771.8,Shipped
10224,10,83,20040221,27,43,100.0,6087.94,Shipped
10237,10,98,20040405,149,32,100.0,4193.28,Shipped
10251,10,74,20040518,149,46,100.0,7552.28,Shipped
10263,10,77,20040628,149,48,100.0,6434.4,Shipped
10276,10,57,20040802,149,43,100.0,5181.5,Shipped
10285,10,79,20040827,149,49,100.0,6863.92,Shipped
10299,10,52,20040930,12,24,100.0,4157.04,Shipped
10309,10,13,20041015,70,26,100.0,4660.24,Shipped
10319,10,6,20041103,149,30,100.0,4111.8,Shipped
10329,10,46,20041115,149,24,100.0,3542.64,Shipped
10341,10,51,20041124,226,55,100.0,8118.55,Shipped
10362,10,37,20050105,149,22,100.0,3877.06,Shipped
10375,10,19,20050203,27,49,78.92,3867.08,Shipped
10388,10,93,20050303,149,44,100.0,5951.44,Shipped
10403,10,79,20050408,87,66,100.0,8648.64,Shipped
10417,10,65,20050513,75,21,100.0,3447.78,Disputed
10104,11,86,20030131,75,34,100.0,5958.5,Shipped
10117,11,48,20030416,246,43,100.0,5911.64,Shipped
10127,11,86,20030603,149,46,100.0,7366.44,Shipped
10142,11,57,20030808,149,33,100.0,4985.64,Shipped
10153,11,8,20030928,75,42,100.0,5393.64,Shipped
10165,11,77,20031022,246,34,100.0,4880.02,Shipped
10176,11,58,20031106,2,47,100.0,8378.69,Shipped
10185,11,64,20031114,149,33,100.0,4038.21,Shipped
10196,11,57,20031126,149,24,100.0,3807.12,Shipped
10208,11,56,20040102,27,26,100.0,3142.36,Shipped
10220,11,10,20040212,69,30,100.0,4713.6,Shipped
10230,11,29,20040315,202,43,100.0,7016.31,Shipped
10247,11,80,20040505,12,25,100.0,4381.25,Shipped
10272,11,31,20040720,149,27,100.0,4283.01,Shipped
10282,11,61,20040820,149,27,100.0,4364.82,Shipped
10293,11,4,20040909,2,24,100.0,4242.24,Shipped
10306,11,35,20041014,87,34,100.0,4982.7,Shipped
10314,11,44,20041022,224,46,100.0,6393.54,Shipped
10324,11,92,20041105,149,27,54.33,1466.91,Shipped
10336,11,99,20041120,27,33,100.0,4059.33,Shipped
10348,11,22,20041101,75,47,100.0,4801.52,Shipped
10358,11,30,20041210,75,49,55.34,2711.66,Shipped
10372,11,44,20050126,22,40,100.0,5862.0,Shipped
10382,11,41,20050217,149,37,100.0,4071.85,Shipped
10413,11,100,20050505,149,47,100.0,8236.75,Shipped
10108,12,1,20030303,166,45,100.0,6130.35,Shipped
10122,12,80,20030508,27,37,99.82,3693.34,Shipped
10135,12,79,20030702,149,48,100.0,6031.68,Shipped
10147,12,79,20030905,149,31,100.0,3494.94,Shipped
10160,12,67,20031011,149,46,100.0,5294.14,Shipped
10170,12,13,20031104,226,47,100.0,5464.69,Shipped
10181,12,48,20031112,70,28,100.0,2860.76,Shipped
10191,12,71,20031120,202,40,100.0,5590.0,Shipped
10203,12,28,20031202,75,20,100.0,2254.8,Shipped
10212,12,56,20040116,75,39,100.0,4946.76,Shipped
10225,12,79,20040222,133,25,99.82,2495.5,Shipped
10238,12,56,20040409,224,29,100.0,3167.38,Shipped
10253,12,46,20040601,87,22,100.0,2402.84,Cancelled
10266,12,51,20040706,2,22,100.0,2454.54,Shipped
10276,12,57,20040802,149,47,100.0,5464.69,Shipped
10287,12,4,20040830,133,45,100.0,4756.5,Shipped
10300,12,14,20031004,202,29,100.0,3984.6,Shipped
10310,12,25,20041016,202,24,100.0,3100.32,Shipped
10320,12,12,20041103,184,35,100.0,4850.3,Shipped
10329,12,46,20041115,149,46,83.63,3846.98,Shipped
10341,12,51,20041124,226,44,95.93,4220.92,Shipped
10363,12,44,20050106,12,34,96.73,3288.82,Shipped
10376,12,51,20050208,149,35,100.0,3987.2,Shipped
10389,12,67,20050303,184,25,72.38,1809.5,Shipped
10419,12,66,20050517,226,10,100.0,1092.2,Shipped
10105,13,97,20030211,224,29,100.0,4566.05,Shipped
10117,13,48,20030416,246,39,100.0,5938.14,Shipped
10127,13,86,20030603,149,42,100.0,8138.76,Shipped
10142,13,57,20030808,149,46,100.0,9470.94,Shipped
10153,13,8,20030928,75,49,100.0,7036.89,Shipped
10165,13,77,20031022,246,27,100.0,5559.03,Shipped
10176,13,58,20031106,2,50,100.0,7872.5,Shipped
10185,13,64,20031114,149,43,100.0,7886.2,Shipped
10196,13,57,20031126,149,38,100.0,7232.16,Shipped
10208,13,56,20040102,27,20,100.0,3114.4,Shipped
10220,13,10,20040212,69,27,100.0,5045.22,Shipped
10231,13,56,20040319,75,49,100.0,6952.12,Shipped
10247,13,80,20040505,12,27,100.0,4157.73,Shipped
10272,13,31,20040720,149,39,100.0,7962.24,Shipped
10282,13,61,20040820,149,24,100.0,3778.8,Shipped
10293,13,4,20040909,2,45,100.0,8253.0,Shipped
10306,13,35,20041014,87,20,100.0,3633.4,Shipped
10314,13,44,20041022,224,36,100.0,6913.8,Shipped
10325,13,44,20041105,70,24,100.0,2583.6,Shipped
10336,13,99,20041120,27,49,63.38,3105.62,Shipped
10349,13,79,20041201,149,26,100.0,4408.56,Shipped
10359,13,63,20041215,27,49,62.09,3042.41,Shipped
10372,13,44,20050126,22,34,100.0,5941.5,Shipped
10382,13,41,20050217,149,34,95.35,3241.9,Shipped
10396,13,100,20050323,149,33,100.0,6109.29,Shipped
10413,13,100,20050505,149,22,100.0,3387.78,Shipped
10108,14,1,20030303,166,39,89.38,3485.82,Shipped
10122,14,80,20030508,27,32,63.84,2042.88,Shipped
10135,14,79,20030702,149,24,75.01,1800.24,Shipped
10147,14,79,20030905,149,21,63.84,1340.64,Shipped
10159,14,44,20031010,149,24,73.42,1762.08,Shipped
10169,14,67,20031104,82,36,63.84,2298.24,Shipped
10181,14,48,20031112,70,20,81.4,1628.0,Shipped
10191,14,71,20031120,202,30,64.64,1939.2,Shipped
10203,14,28,20031202,75,44,82.99,3651.56,Shipped
10211,14,10,20040115,27,28,92.57,2591.96,Shipped
10225,14,79,20040222,133,37,77.41,2864.17,Shipped
10238,14,56,20040409,224,20,74.21,1484.2,Shipped
10253,14,46,20040601,87,25,90.17,2254.25,Cancelled
10266,14,51,20040706,2,35,76.61,2681.35,Shipped
10276,14,57,20040802,149,38,83.79,3184.02,Shipped
10287,14,4,20040830,133,41,69.43,2846.63,Shipped
10300,14,14,20031004,202,22,76.61,1685.42,Shipped
10310,14,25,20041016,202,49,81.4,3988.6,Shipped
10320,14,12,20041103,184,38,73.42,2789.96,Shipped
10329,14,46,20041115,149,33,100.0,3607.56,Shipped
10341,14,51,20041124,226,36,93.56,3368.16,Shipped
10363,14,44,20050106,12,34,81.62,2775.08,Shipped
10377,14,67,20050209,12,24,67.83,1627.92,Shipped
10389,14,67,20050303,184,36,70.26,2529.36,Shipped
10419,14,66,20050517,226,34,90.17,3065.78,Shipped
10104,15,86,20030131,75,41,100.0,4615.78,Shipped
10115,15,41,20030404,149,46,100.0,5723.78,Shipped
10127,15,86,20030603,149,24,100.0,2559.6,Shipped
10141,15,41,20030801,12,21,100.0,2140.11,Shipped
10151,15,42,20030921,12,24,100.0,3327.6,Shipped
10165,15,77,20031022,246,48,100.0,6825.6,Shipped
10175,15,85,20031106,87,26,100.0,3543.28,Shipped
10184,15,82,20031114,75,37,100.0,4516.22,Shipped
10195,15,33,20031125,149,49,100.0,6445.46,Shipped
10207,15,39,20031209,149,34,99.54,3384.36,Shipped
10219,15,17,20040210,149,48,100.0,4891.68,Shipped
10229,15,29,20040311,149,36,100.0,4521.96,Shipped
10246,15,34,20040505,75,46,100.0,5069.66,Shipped
10259,15,24,20040615,246,46,100.0,6541.2,Shipped
10271,15,3,20040720,149,31,97.17,3012.27,Shipped
10281,15,69,20040819,149,41,100.0,5247.18,Shipped
10292,15,11,20040908,149,21,100.0,2214.87,Shipped
10305,15,64,20041013,149,38,100.0,4773.18,Shipped
10314,15,44,20041022,224,45,100.0,6185.7,Shipped
10324,15,92,20041105,149,26,58.38,1517.88,Shipped
10336,15,99,20041120,27,38,100.0,6372.6,Shipped
10349,15,79,20041201,149,48,100.0,5232.96,Shipped
10358,15,30,20041210,75,42,64.16,2694.72,Shipped
10371,15,28,20050123,149,49,35.71,1749.79,Shipped
10382,15,41,20050217,149,32,66.58,2130.56,Shipped
10412,15,10,20050503,75,54,100.0,5951.34,Shipped
10425,15,81,20050531,27,33,100.0,4692.6,In Process
10108,16,1,20030303,166,36,100.0,3731.04,Shipped
10122,16,80,20030508,27,20,100.0,2142.0,Shipped
10135,16,79,20030702,149,29,97.89,2838.81,Shipped
10147,16,79,20030905,149,33,97.89,3230.37,Shipped
10160,16,67,20031011,149,50,100.0,5182.0,Shipped
10170,16,13,20031104,226,41,100.0,4391.1,Shipped
10181,16,48,20031112,70,36,100.0,4477.32,Shipped
10192,16,78,20031120,149,27,100.0,3544.56,Shipped
10203,16,28,20031202,75,47,100.0,5195.85,Shipped
10212,16,56,20040116,75,33,100.0,4180.44,Shipped
10225,16,79,20040222,133,21,100.0,2684.43,Shipped
10239,16,73,20040412,12,21,93.28,1958.88,Shipped
10253,16,46,20040601,87,41,100.0,4910.57,Cancelled
10266,16,51,20040706,2,40,100.0,4468.4,Shipped
10277,16,70,20040804,246,28,100.0,3127.88,Shipped
10287,16,4,20040830,133,23,100.0,2675.13,Shipped
10300,16,14,20031004,202,23,100.0,2807.61,Shipped
10310,16,25,20041016,202,25,100.0,2504.75,Shipped
10321,16,47,20041104,149,24,100.0,2984.88,Shipped
10329,16,46,20041115,149,39,64.74,2524.86,Shipped
10341,16,51,20041124,226,55,75.2,4136.0,Shipped
10363,16,44,20050106,12,46,88.45,4068.7,Shipped
10377,16,67,20050209,12,50,100.0,5182.0,Shipped
10389,16,67,20050303,184,47,100.0,5243.79,Shipped
10405,16,72,20050414,27,97,93.28,9048.16,Shipped
10419,16,66,20050517,226,32,100.0,3832.64,Shipped
10103,17,41,20030129,70,35,100.0,3920.0,Shipped
10113,17,86,20030326,149,49,100.0,4916.66,Shipped
10126,17,55,20030528,75,38,100.0,3857.0,Shipped
10140,17,45,20030724,149,32,100.0,4181.44,Shipped
10150,17,46,20030919,246,34,100.0,4641.0,Shipped
10164,17,81,20031021,226,36,99.17,3570.12,Resolved
10174,17,10,20031106,82,48,93.34,4480.32,Shipped
10183,17,56,20031113,149,21,96.84,2033.64,Shipped
10194,17,89,20031125,27,21,93.34,1960.14,Shipped
10206,17,7,20031205,244,34,100.0,3966.78,Shipped
10215,17,86,20040129,149,46,100.0,5152.0,Shipped
10228,17,83,20040310,149,32,100.0,3360.0,Shipped
10245,17,28,20040504,149,29,100.0,3451.0,Shipped
10258,17,64,20040615,22,41,100.0,5453.0,Shipped
10270,17,17,20040719,82,43,96.84,4164.12,Shipped
10280,17,76,20040817,2,24,100.0,2800.08,Shipped
10291,17,71,20040908,184,41,100.0,4687.94,Shipped
10304,17,36,20041011,27,46,98.0,4508.0,Shipped
10312,17,7,20041021,149,32,100.0,4181.44,Shipped
10322,17,98,20041104,149,22,100.0,2251.04,Shipped
10333,17,45,20041118,149,29,40.25,1167.25,Shipped
10347,17,90,20041129,82,42,49.6,2083.2,Shipped
10357,17,68,20041210,149,39,98.0,3822.0,Shipped
10370,17,20,20050120,82,27,100.0,3911.49,Shipped
10381,17,76,20050217,149,48,98.0,4704.0,Shipped
10391,17,20,20050309,82,29,85.1,2467.9,Shipped
10411,17,37,20050501,244,27,100.0,3213.0,Shipped
10424,17,47,20050531,75,54,100.0,7182.0,In Process
10109,18,17,20030310,149,26,100.0,4379.18,Shipped
10122,18,80,20030508,27,34,100.0,5004.8,Shipped
10136,18,91,20030704,27,25,100.0,3644.75,Shipped
10148,18,51,20030911,82,23,100.0,2702.04,Shipped
10161,18,94,20031017,224,28,100.0,3764.88,Shipped
10171,18,16,20031105,244,35,100.0,4508.0,Shipped
10181,18,48,20031112,70,44,100.0,5418.16,Shipped
10192,18,78,20031120,149,22,100.0,3300.66,Shipped
10204,18,50,20031202,149,42,100.0,6182.4,Shipped
10212,18,56,20040116,75,29,100.0,4186.73,Shipped
10225,18,79,20040222,133,32,100.0,4529.28,Shipped
10240,18,70,20040413,22,41,100.0,5628.89,Shipped
10253,18,46,20040601,87,26,100.0,3054.48,Cancelled
10266,18,51,20040706,2,21,100.0,2526.51,Shipped
10278,18,50,20040806,149,34,100.0,4667.86,Shipped
10287,18,4,20040830,133,41,100.0,6499.32,Shipped
10301,18,45,20031005,70,37,100.0,5917.78,Shipped
10310,18,25,20041016,202,37,100.0,6231.91,Shipped
10321,18,47,20041104,149,41,100.0,5803.14,Shipped
10331,18,17,20041117,149,46,100.0,6434.02,Shipped
10342,18,39,20041124,82,40,100.0,6454.4,Shipped
10356,18,24,20041209,27,43,97.6,4196.8,Shipped
10365,18,31,20050107,149,30,87.06,2611.8,Shipped
10377,18,67,20050209,12,35,100.0,5895.05,Shipped
10390,18,69,20050304,149,36,93.77,3375.72,Shipped
10406,18,64,20050415,224,61,100.0,8374.69,Disputed
10419,18,66,20050517,226,38,100.0,4464.24,Shipped
10102,19,61,20030110,149,39,100.0,4808.31,Shipped
10111,19,37,20030325,149,33,99.66,3288.78,Shipped
10125,19,96,20030521,82,32,100.0,3254.72,Shipped
10139,19,9,20030716,82,31,100.0,3184.94,Shipped
